offset	array	class	voice_distinct	written_at_v>0	writers	readers
9616	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:91
9680	MAIN	BUILD-READ+NOTE	YES	YES	src/juno_note.c:197,src/juno_note.c:321	engine_b/eb_coefs.c:92
9712	MAIN	STATE-SEED	render-only	no	-	engine_b/eb_coefs.c:336
9744	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:92
9776	MAIN	STATE-SEED	render-only	no	-	engine_b/eb_coefs.c:336
9808	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:93
9824	MAIN	BUILD-READ+NOTE	YES	YES	src/juno_note.c:201,src/juno_note.c:306	engine_b/eb_coefs.c:93
9856	MAIN	STATE-SEED	render-only	no	-	engine_b/eb_coefs.c:337
9888	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:94
9904	MAIN	STATE-SEED	render-only	no	-	engine_b/eb_coefs.c:337
9952	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:94
9968	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:95
9984	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:95
10000	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:96
10016	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:96
10032	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:97
