# data refs from sub_180388170 @ 0x180388170
# addr            name                  f32                       f64
0x0018098B808  aDlyMute                1.8405849133980013e-19    5.305728315167529e+180
0x0018098B818  aHighCutC0              4.371235015269593e+24     9.742823719703288e+252
0x0018098B828  aHighCutA0              4.371235015269593e+24     9.742823719703288e+252
0x0018098B838  aHighCutA1              4.371235015269593e+24     9.742823719703288e+252
0x0018098B848  aHighCutB0              4.371235015269593e+24     9.742823719703288e+252
0x0018098B858  aHighCutB2              4.371235015269593e+24     9.742823719703288e+252
0x0018098B868  aUseIirHighCutF         1.9435214660226022e-19    5.4554099128266e-153
0x0018098B880  aHighCutFc              4.371235015269593e+24     9.742823719703288e+252
0x0018098B890  aHighCutQc              4.371235015269593e+24     9.742823719703288e+252
0x0018098B8A0  aHighCutSw              4.371235015269593e+24     9.742823719703288e+252
0x0018098B8B0  aFeedback_0             1.6926407652502751e+22    1.9910855035001466e+209
0x0018098B8C0  aLfDampFc               641.098388671875          1.9603222837324463e-152
0x0018098B8D0  aLfDampHp               641.098388671875          1.9603222837324463e-152
0x0018098B8E0  aLfDampLp               641.098388671875          1.9603222837324463e-152
0x0018098B8F0  aHfDampFc               641.09814453125           1.9603222837324447e-152
0x0018098B900  aHfDampHp               641.09814453125           1.9603222837324447e-152
0x0018098B910  aHfDampLp               641.09814453125           1.9603222837324447e-152
0x0018098B920  aTapTime                2.0360993909325663e-19    3.8138508705843165e+180
0x0018098B92C  aTapSw                  2.0360993909325663e-19    6.4820874314858e-310
0x0018098B938  aStereoSw               4.5448124544372093e+30    2.678317994542359e+92
0x0018098B948  aWetGain                2.070113445461659e-19     7.339361324341589e+223
0x0018098B958  aChorusCv               4.7419495699901277e+30    2315273947821089.5
0x0018098B968  aChrusLfoSync           3.0728772428005286e+32    4.4568633036205207e+30
0x0018098B978  aLfoCurve               1.7556841293013242e-19    3.63263852290826e+262
0x0018098B988  aLfoManual              1.7556841293013242e-19    4.561579703059691e+257
0x0018098B998  aLowCutFc               2.0958538844076313e-19    2.4413303807357244e-152
